platform,title,url,published_by,developed_by,released,genre,perspective,visual,art,gameplay,interface,user_reviews,user_review_count,average_user_review,critic_reviews,critic_review_count,average_critic_review
platform,title,url,published_by,developed_by,released,genre,perspective,visual,art,gameplay,interface,user_reviews,user_review_count,average_user_review,critic_reviews,critic_review_count,average_critic_review
SNES,Bayonetta,https://www.mobygames.com/game/43659/bayonetta/,"SEGA Corporation SEGA of America, Inc. SEGA Europe Ltd. Nintendo of America Inc. Nintendo Co., Ltd.",Platinum Games Inc.,"October 29, 2009 on Xbox 360",Action,Behind view,,,Hack and slashQuick Time Events (QTEs),Direct control,"[5.0, 4.1]",2,4.55,"[100, 100, 100, 100, 100, 100, 100, 100, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 93, 93, 93, 92, 92, 92, 92, 91, 91, 91, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 89, 89, 89, 88, 88, 88, 87, 87, 87, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 84, 83, 83, 83, 82, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 79, 79, 75, 75, 75, 69, 60, 52]",109,86.93577981651376
SNES,Metroid: Zero Mission,https://www.mobygames.com/game/12061/metroid-zero-mission/,"Nintendo Co., Ltd.",Nintendo R&D1,"February 9, 2004 on Game Boy Advance",Action,Side view,2D scrolling,,MetroidvaniaPlatform,,"[4.5, 5.0, 4.0, 4.5, 4.7, 5.0, 4.0]",7,4.5285714285714285,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 97, 95, 95, 95, 95, 92, 92, 91, 91, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 89, 88, 87, 87, 85, 85, 85, 84, 80, 80, 80, 80, 80, 80, 80, 80, 80, 75, 74, 70]",66,89.57575757575758
SNES,Call of Duty 4: Modern Warfare (Limited Collector's Edition),https://www.mobygames.com/game/30896/call-of-duty-4-modern-warfare-limited-collectors-edition/,"Activision Publishing, Inc. Noviy Disk",,"November 5, 2007 on Windows",Special edition,,,,,,[],0,0,[90],1,90.0
SNES,The Legend of Zelda: Majora's Mask,https://www.mobygames.com/game/3550/the-legend-of-zelda-majoras-mask/,"Nintendo Co., Ltd.",Nintendo EAD,2000 on Nintendo 64,Action,1st-personBehind view,,,MetroidvaniaPuzzle elements,Direct control,"[4.7, 5.0, 4.7, 3.7, 3.7, 3.5]",6,4.216666666666666,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99, 99, 99, 99, 99, 99, 98, 98, 97, 97, 96, 95, 95, 95, 95, 94, 94, 93, 93, 93, 93, 92, 92, 92, 91, 91, 91, 91, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 84, 83, 80, 80, 72, 70, 70, 60]",64,93.109375
SNES,Yakuza: Kiwami 2,https://www.mobygames.com/game/112809/yakuza-kiwami-2/,"SEGA Games Co., Ltd. SEGA of America, Inc.",Ryu ga Gotoku Studio,"December 7, 2017 on PlayStation 4",Role-playing (RPG),3rd-person (Other),,,Mini-games,Direct control,[],0,0,"[100, 100, 100, 100, 100, 100, 95, 95, 95, 95, 95, 95, 91, 91, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 88, 86, 86, 86, 85, 85, 85, 85, 85, 85, 83, 80, 80, 80, 80, 79, 76, 76, 75, 75, 70, 70, 70, 70]",53,87.20754716981132
SNES,Umineko: When They Cry - Question Arcs,https://www.mobygames.com/game/102413/umineko-when-they-cry-question-arcs/,MangaGamer.com,07th Expansion,"July 8, 2016 on Windows",Adventure,1st-person,,Anime / Manga,Visual novel,Point and select,[],0,0,"[100, 100, 98, 90, 90, 83, 80, 80]",8,90.125
SNES,Ghost Trick: Phantom Detective,https://www.mobygames.com/game/205088/ghost-trick-phantom-detective/,"Capcom Co., Ltd.","Capcom Co., Ltd.","June 30, 2023 on Windows",Adventure,Side view,,,Puzzle elements,,[],0,0,"[100, 100, 100, 100, 100, 95, 95, 95, 95, 92, 90, 90, 90, 90, 90, 90, 90, 85, 85, 85, 85, 85, 85, 85, 85, 83, 82, 81, 81, 80, 80, 80, 80, 80, 80, 80, 80, 80, 70, 58]",40,86.425
SNES,Monster Hunter: Rise,https://www.mobygames.com/game/160124/monster-hunter-rise/,"Capcom Co., Ltd.","Capcom Co., Ltd.","March 26, 2021 on Nintendo Switch",Role-playing (RPG),Behind view,,,Action RPG,Direct control,[],0,0,"[100, 100, 100, 95, 95, 95, 95, 95, 92, 92, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 89, 88, 87, 86, 86, 86, 85, 85, 85, 85, 85, 83, 80, 80, 80, 80, 80, 75, 75, 60]",46,87.80434782608695
SNES,Theatrhythm: Final Bar Line,https://www.mobygames.com/game/199777/theatrhythm-final-bar-line/,"Square Enix Co., Ltd.","indieszero Co., Ltd.","February 16, 2023 on PlayStation 4",Action,Side view,2D scrolling,Anime / Manga,Music / rhythm,Direct control,[],0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 95, 95, 95, 95, 93, 91, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 89, 88, 86, 85, 85, 85, 85, 85, 85, 85, 85, 85, 84, 82, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 75, 75, 75, 70, 70, 50]",95,87.29473684210527
SNES,Dreams,https://www.mobygames.com/game/141439/dreams/,SCE Worldwide Studios Sony Interactive Entertainment America LLC Sony Interactive Entertainment Inc. Sony Interactive Entertainment Europe Ltd.,Media Molecule Ltd.,"February 13, 2020 on PlayStation 4",ActionAdventureRacing / Driving,1st-person3rd-person (Other)Behind viewSide view,2D scrolling,,Graphic adventurePlatformPuzzle elements,Direct controlPoint and select,[],0,0,"[100, 100, 95, 95, 95, 92, 90, 90, 90, 90, 90, 90, 90, 82, 80, 80, 70]",17,89.3529411764706
